,tweets,tweet_long,id,created_date,source,likes,RTs,language,place,user_id,user_name,user_description,followers,followings,user_lists_member,user_total_favourites_count,user_statuses_count,user_created_account,user_location,user_lang
0,"RT @MariajeDLTorre: #8M⁠ ⁠Día con nombre de mujer q da sentido a esas valientes luchadoras de las que procedemos.Las abuelas,mujeres de pla…",140,1104081092494139394,2019-03-08 18:06:59,Twitter for iPhone,0,4,es,,2723477998,lusabo #ElDisco,,103,55,0,6688,9079,2014-07-24 22:24:53,,ca
1,"RT @erikavelezz: Hoy no quiero q me felicites, no es mi cumpleaños.Hoy quiero q seas mi aliado, q luches a mi lado por nuestros derechos, q…",140,1104081092297089025,2019-03-08 18:06:59,Twitter for Android,0,150,es,,222336145,momenika,19 infiernos. Negación social y una actitud generalmente pesimista a menudo. No soy droga solo dealer.,986,408,7,2848,20482,2010-12-03 03:30:00,"Guayaquil, Ecuador",es
2,RT @eldiarioes: Albert Rivera realiza un acto por el #8M rodeado por mujeres en el que solo habla él https://t.co/vB18XlB1be https://t.co/H…,140,1104081092158676993,2019-03-08 18:06:59,Twitter for Android,0,1943,es,,943403792,Javier Einar,,398,1281,7,66551,48227,2012-11-12 12:14:28,,es
3,RT @eldiarioes: Albert Rivera realiza un acto por el #8M rodeado por mujeres en el que solo habla él https://t.co/vB18XlB1be https://t.co/H…,140,1104081091709812737,2019-03-08 18:06:59,Twitter for Android,0,1943,es,,224353423,Jluisito 🎗️ Soy muralla,,60,196,2,12555,11930,2010-12-08 19:48:14,Barcelona,es
4,"RT @pacotruji: Me  quedo con esta señora, para mí,  el mensaje y la imagen del día en #Puertollano  #8M #8marzo #HuelgaFeminista2019 #Huelg…",140,1104081091588210688,2019-03-08 18:06:59,Twitter for Android,0,2705,es,,764683024927694848,Tonia Sanchez Ledesma.,,41,250,0,360,1214,2016-08-14 04:40:15,Mallorca,es
5,"RT @DRYmadrid: Miles y miles ya inundamos Atocha #Madrid por la igualdad #HuelgaFeminista2019 #8M La revolución será feminista o no será 
😃…",140,1104081091156156416,2019-03-08 18:06:59,TweetDeck,0,1,es,,213701197,Pouer                                    ™,Hipertenso con gafas.,9543,1646,261,76878,207153,2010-11-09 15:44:40,El Madriz de Leganés,es
6,"RT @CosseCarolina: Porque no aceptamos la injusticia, ni la violencia en la vida, ni en la economía, ni en la política. Porque queda mucho…",139,1104081090875179008,2019-03-08 18:06:59,Twitter for Android,0,311,es,,992638204477091840,Starlight,Miau,42,370,0,1119,435,2018-05-05 05:32:45,,es
7,"RT @MarotoReyes: /💜 Hoy reivindicamos:

🙋🏻‍♀la #igualdad real
🙋🏼‍♀los derechos de las mujeres
🙋🏽‍♀el empoderamiento económico y laboral
🙋‍♀…",140,1104081090493464577,2019-03-08 18:06:59,Twitter for Android,0,72,es,,294755225,Miguel A. Palacios,Socialista. Sindicalista. Funcionario. Secretario General de la Sección Sindical de UGT en el Ayto. de Alcorcón,823,1272,4,18276,18210,2011-05-07 18:17:01,Alcorcon,es
8,"RT @pardodevera: No basta con que los cuatro candidatos a la Presidencia del Gobierno de los principales partidos sean hombres. 

Algunos t…",140,1104081090220834816,2019-03-08 18:06:59,Twitter for Android,0,210,es,,3306814461,MAZINGER-Z,SOLO HAY 2 DIAS AL AÑO QUE NO PUEDES HACER NADA. AYER Y MAÑANA,602,1008,10,4559,13758,2015-06-03 08:38:46,,es
9,RT @DinCreativas: ¿Ya vieron el #GoogleDoodle de hoy? #8M – https://t.co/U8eUFYevaz,83,1104081090195714049,2019-03-08 18:06:59,Twitter for iPhone,0,1,es,,400445453,🤖,There's no place like 127.0.0.1 – La Tía me lee el pensamiento – Josué 1:9,3929,1648,29,19681,53837,2011-10-29 01:52:12,Tatooine,en
10,"RT @publico_es: El 82% de los españoles cree que hay motivos para la huelga del #8M. 

Sigue aquí #8MAquíYAhora: https://t.co/C1oHZcRCwV ht…",140,1104081090044661760,2019-03-08 18:06:59,Twitter for Android,0,3,es,,304534520,Ana Martín-Pintado Infantes,"Madre, abuela, periodista, jubilada y de Podemos y de Más Madrid porque no importa de dónde vengas, importa a dónde quieras ir",2136,1139,64,36457,76694,2011-05-24 17:40:20,España,es
11,RT @RoCarrilloo: Un poco de lo que significa nacer mujer. Por todas💚 #8M https://t.co/BLtfWLpfoI,96,1104081089109413889,2019-03-08 18:06:59,Twitter for iPhone,0,44,es,,731720881,Julieta,,750,393,0,1384,6795,2012-08-01 23:50:55,Padua,es
12,"RT @sopitas: ¿""Taller de extorsión y secuestros""? ¿""Taller de genocidio y exterminio""? 
WTF?? Acá todo lo que sabemos al respecto 
 
#NosEs…",140,1104081088765444096,2019-03-08 18:06:59,Twitter for Android,0,7,es,,1098609184801734656,Ma Eugenia de J Lozano,"Soy mujer , madre y abuela. Jamas me callaran por que tengo el derecho a emitir mi opinión es mi libertad de expresion",31,62,0,1253,1830,2019-02-21 15:43:35,,es
13,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104081087570034689,2019-03-08 18:06:58,Twitter for Android,0,1552,es,,1000932983333965825,𝚊𝚋𝚛𝚒𝚕,"hi, thanks for checking in! i'm 𝓼𝓽𝓲𝓵𝓵 𝓪 𝓹𝓲𝓮𝓬𝓮 𝓸𝓯 𝓰𝓪𝓻𝓫𝓪𝓰𝓮",242,283,2,14552,8234,2018-05-28 02:53:14,ella,en
14,"RT @PlazaPublicaGT: #BlogPzP #8M #DíaDeLaMujer
@iduvina: ""A lo largo de la historia la deuda (del Estado y la sociedad con las mujeres), le…",140,1104081087435890689,2019-03-08 18:06:58,Twitter Web Client,0,2,es,,1170765266,SEDEM,SEDEM organización interesada en el control democrático de los servicios de seguridad e inteligencia en Guatemala.,283,44,1,118,1044,2013-02-12 03:24:32,Guatemala,es
15,"RT @UGTExtremadura: Empieza la manifestación en Cáceres. #8MYoParo
#NiMásNiMenosIguales
#UGTFeminista
#8M
@UGT_Comunica https://t.co/nOgtew…",140,1104081086240485377,2019-03-08 18:06:58,Twitter for iPhone,0,1,es,,86379470,UGT,"UGT es una confederación sindical constituida en 1888, progresista, comprometida, reivindicativa, democrática e independiente. https://t.co/LtONT5Bcu9",36794,10176,817,1452,144205,2009-10-30 19:26:44,España,es
16,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104081085967884294,2019-03-08 18:06:58,Twitter for Android,0,1552,es,,858557994,nadinE 💚,"17. Mientras la justicia sea machista, la memoria va a ser feminista.",1314,749,3,67400,40588,2012-10-02 19:14:10,,en
17,RT @FonziDolores: Mejor video en lo que va del día. #8M Lloré. 💪🏽💪🏽💪🏽💜 https://t.co/Uzudpmhp6y,94,1104081085930106881,2019-03-08 18:06:58,Twitter for iPhone,0,9618,es,,244185275,Paula Molina,,77,347,1,1458,1067,2011-01-28 18:26:09,Costa Rica,es
18,"RT @madresdlaPatria: ¡Gracias Marcela por sumar tu voz este día a nuestro colectivo!

#DíaInternacionalDeLaMujer #DíaDeLaMujer⁠ ⁠
#8deMarzo…",140,1104081085024083969,2019-03-08 18:06:58,Twitter for Android,0,3,es,,971154733770706944,🇲🇽 🏳️‍🌈ZeroDHeroX 💜🧡💚,"Psicólogo, #sexologia, Chairo, #LinceUVM, Gaming, Chiva anti directiva, #AntiTerf #LGBT #StopTransfobia",166,176,0,29953,9678,2018-03-06 22:45:06,,es
19,"Por todas las mujeres maravillosas que han influido en mi vida.Por ellas, por mi, por todas. Feliz día de la mujer 💜 #8M",120,1104081084730535942,2019-03-08 18:06:58,Twitter for Android,0,0,es,,262360619,Sarah Ellesley,"Amante de los animales y de la vida en general :))
El sol, la playa y la música como medicina.
Si me buscas, me encontrarás riendo.",99,131,2,666,995,2011-03-07 22:21:27,Andalucia,es
20,RT @nieveniobernalM: Un fracaso eh #8M https://t.co/zB93u19AAk,62,1104081083702878208,2019-03-08 18:06:57,Twitter for Android,0,380,es,,1049534663235121152,teamot_2017_,"El mejor dia de mi vida, cuando os conocí, OT 2017 ❤️
💙16-2-19 @cepedaoficial 💙
#galiciacalidade
Me podeis seguir en insagram @teamot_2017_",49,504,0,5016,1179,2018-10-09 05:38:57,OT 2017 ,es
21,"RT @angelamrobledo: Hoy en el #DíaDeLaMujer, en Colombia exigimos ni una líderesa social más asesinada.

Desde la firma del Acuerdo de Paz,…",140,1104081083447107586,2019-03-08 18:06:57,Twitter Web Client,0,4,es,,703241820,Natalia.,Estudiante de Derecho-UGC❤,2582,2086,3,4031,42832,2012-07-18 15:15:58,"Bogotá, D.C., Colombia",es
22,"""La verdad oculta sobre por qué se celebra el Día de la Mujer el 8 de marzo."" @ABC_Historia de @abc_es… https://t.co/vaf54kIeal",127,1104081082465562624,2019-03-08 18:06:57,Twitter for Android,0,0,es,,118826939,Patricio Sánchez,Libertario minarquista y sin religión. Aficionado a varios temas. Ingeniero Comercial. Quiero #LibertadEnSerio #VivaLaLibertadCarajo @PartidoLibertCH,334,542,16,431,27426,2010-03-01 21:32:14,"Padre Las Casas, Chile",es
23,RT @FonsiLoaiza: De vergüenza. Pablo Casado y Albert Rivera realizan un acto por el #8M rodeado por mujeres en el que solo hablan ellos. La…,140,1104081082004226048,2019-03-08 18:06:57,Twitter for Android,0,347,es,,431671600,celia,,1232,548,10,39059,86886,2011-12-08 15:15:24,,es
24,RT @FonziDolores: Mejor video en lo que va del día. #8M Lloré. 💪🏽💪🏽💪🏽💜 https://t.co/Uzudpmhp6y,94,1104081081677070337,2019-03-08 18:06:57,Twitter for Android,0,9618,es,,1194109291,Virginia♡,"Virginia / Kinesiologia y fisioterapia-UNC /capricornio / handball / CAB❤
Mama de lorenzo💞",974,905,2,2013,11655,2013-02-18 17:33:28,Mina Clavero,es
25,"RT @Lvkxssss: libres, lindas y (re) locas siempre! 💚 hoy es su día y su marcha, los demás cerramos el orto. Feliz día! #8M",122,1104081081001803777,2019-03-08 18:06:57,Twitter for Android,0,88,es,,1094305039026475009,ȻѦMILѦ,18 años💫,195,520,0,369,787,2019-02-09 18:40:27,"Moreno, Argentina",es
26,Nos quitaron tanto que acabaron quitándonos el miedo. #8M 💜💚✊🏼,62,1104081080871804928,2019-03-08 18:06:57,Twitter for Android,0,0,es,,522671904,ℬ𝒾𝒶𝓃𝒸𝒶.,"Pero el sol está, no es de papel, es de verdad... 


💗Bicolor.
Ví a Charly un miércoles 25 de julio de 2018, ese día fui feliz. SNM.
Ed. Física.
💚✊🏼💜",934,543,1,8999,33709,2012-03-12 23:28:28,Córdoba,es
27,RT @SietessTecnicos: “Somos Ciencia. Somos Esencia”. Nuestro apoyo 👍 a todas las Técnicos Superiores Sanitarios . Estáis en la vanguardia d…,140,1104081079990960131,2019-03-08 18:06:56,Twitter Web Client,0,14,es,,1056487413256765440,SETSS- Sociedad Española de Técn. Sup. Sanitarios,La única Sociedad Científica que aglutina a todos los #TSS #TSID #TSLDC #TSRT #TSAPC #TSDS #TSD ...,86,84,2,186,184,2018-10-28 10:06:42,España,es
28,"RT @konfekoop: En las cooperativas vascas...
👉🏼 ¡seré quien yo decida ser❗️
👉🏼 las mujeres ejercen sus derechos libremente y en igualdad

#…",140,1104081079835783168,2019-03-08 18:06:56,Twitter for Android,0,1,es,,1002398573319933953,TCall,Fundar 2 mil cooperativas para empoderar a la sociedad civil,56,247,0,6908,1360,2018-06-01 03:56:58,"Miraflores, Peru",es
29,RT @astrobikecl: 🚲♀️ DÍA INTERNACIONAL DE LA MUJER ♀️🚲Hoy saludamos a todas las mujeres que han luchado y que luchan por hacer este mundo m…,140,1104081079022034944,2019-03-08 18:06:56,Twitter Web Client,0,1,es,,982733403979239425,FeminismoLógico,💜 Queremos #igualdad 💜,2821,2560,22,33486,28528,2018-04-07 21:34:36,,es
30,"RT @elchascas: Feminismo: principio de igualdad de derechos de la mujer y el hombre. 
Que hoy sea un poderoso #8M para que, por fin, el fem…",140,1104081078917230592,2019-03-08 18:06:56,Twitter for iPhone,0,28,es,,258583285,TAM,23- acuario- Nutrición y dietética UdeC,585,647,0,1331,24209,2011-02-28 01:28:22,Concepción,es
31,RT @soyingridbeck: Para muchos medios el #8M se reduce a historias inspiradoras de mujeres que lo lograron a pesar de los obstáculos. Para…,139,1104081078896287744,2019-03-08 18:06:56,Twitter for Android,0,2824,es,,191995361,Ferr 💚✊,"Me gusta lo que me haga subir ; pero la vida me convence con bajar.  Handball♥. FCQ. Francio👶
SE VA A CAER, NO NOS CALLAN MÁS 💪",595,432,4,6378,19399,2010-09-17 22:24:49,"Cordoba, Argentina",es
32,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104081078757871616,2019-03-08 18:06:56,Twitter for Android,0,1552,es,,1972840579,ℳilagros💚,the carousel never stop turning 🎠,1378,854,2,7521,24809,2013-10-19 20:53:27,Ojo de Agua,es
33,"RT @Tu_IMSS: A través de #IMSSBIENESTAR, hay 7 mil #parteras rurales capacitadas.

#DíaDeLaMujer  #8M  #MujeresIMSS https://t.co/wnynKqygd0",139,1104081078539747328,2019-03-08 18:06:56,Twitter for iPhone,0,26,es,,874513562,IMSS Nuevo León,Delegación de @TU_IMSS en Nuevo León,2127,2133,13,3889,11008,2012-10-11 23:25:54,"Monterrey, Nuevo León",es
34,"RT @pictoline: Por los derechos conquistados.
Y los que faltan.

#DíaDeLaMujer #InternationalWomensDay #8M https://t.co/YIeBII11A2",130,1104081078418051073,2019-03-08 18:06:56,Twitter for Android,0,1552,es,,199335591,Lali Marian,Ven y te cuento. 🖤,194,233,0,3157,3494,2010-10-06 16:16:11,,es
